filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;10.556276;1;10.556276;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.433646;1;9.433646;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.251515;1;9.251515;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.202226;1;9.202226;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;10.020514;1;10.020514;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.608171;1;9.608171;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.166479;1;9.166479;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.311946;1;9.311946;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.619448;1;9.619448;1;0
20180307_1_Input-Values_Synthesized_Non_incrementally_a1_3_0.2_3_5_40_cmaes_15;ev_[0,0.033](alw_[0,1]((x[t]>=x0-0.002) and (x[t]<=x0+0.002) ));20180307_1_Input-Values_Synthesized_Non_incrementally;cmaes;3;0.2;3;5;15;40;1;9.32177;1;9.32177;1;0
