filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions_1;partitions_2;T_playout;N_max;falsified_at_all;total_time;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;492.483818;0;186.10424;0;306.379578
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;495.211142;0;185.73712;0;309.474022
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;490.031035;0;189.186494;0;300.844541
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;499.439152;0;193.702205;0;305.736947
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;499.221989;0;193.891612;0;305.330377
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;502.097576;0;192.266006;0;309.83157
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;499.985096;0;196.056603;0;303.928493
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;502.410202;0;195.450854;0;306.959348
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;503.288617;0;196.653206;0;306.635411
20180307_1_Input-Values_Synthesized_Non_incrementally_a2_3_0.2_3_5_20_global_nelder_mead_5;alw_[0,1]( not(x[t] > x0 and ev_[0,0.01](x[t] <= x0)) or v[t] < 0.2);20180307_1_Input-Values_Synthesized_Non_incrementally;global_nelder_mead;3;0.2;3;5;5;20;0;509.854955;0;200.789894;0;309.065061
