filename;phi_str;algorithm;hill_climbing_by;controlpoints;scalar;partitions;T_playout;N_max;falsified_at_all;total_time;best_robustness;falsified_in_preprocessing;time_for_preprocessing;falsified_after_preprocessing;time_for_postpreprocessing
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;86.932079;-0.00135147234754765;1;86.932079;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;35.021253;-0.00773712686253354;1;35.021253;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;14.540172;-0.00418181980459338;1;14.540172;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;10.919569;-0.00772161868862692;1;10.919569;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;11.501648;-0.00408684001076871;1;11.501648;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;105.023917;-0.0037538126241548;1;105.023917;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;81.809078;-0.0107156400856262;1;81.809078;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;1.224416;-0.00414820197573877;1;1.224416;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;23.947731;-0.00624467219040705;1;23.947731;1;0
basicmcts_nn1_3_0.2_3_40_cmaes_15;alw_[0, 18]((not (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t])))=> ev_[0, 2] (alw_[0, 1] (abs(Pos[t] - Ref[t]) <= 0.005+ 0.03*abs(Ref[t]))));basicmcts;cmaes;3;0.2;3;15;40;1;67.425248;-0.00554060324844177;1;67.425248;1;0
